boyzhirui,1456176101.0,"connect the result page with rate_results.py

- connect the result page with rate_results.py
- delete unnecessary code
- polish the page"
boyzhirui,1456172437.0,"polish the index page

add logo and footer"
boyzhirui,1456155897.0,"ignore the pyc and css file within Google App Engine, Import result module into website script"
boyzhirui,1456155727.0,"add gitignore, ignore the pyc file within Google App Engine"
Niki Gn,1456092941.0,Script to add needed functions to Google App Engine Project
Yihuan Dong,1456089821.0,Added color to terminal output
Niki Gn,1456089399.0,remove unnecessary files and add them to gitignore
Niki Gn,1456087578.0,merge with master
Niki Gn,1456087519.0,add a mock for web results
Niki Gn,1456087498.0,find the text instead of html content of the email
boyzhirui,1456087377.0,"change organization of files

move git-help-2016 into git-web folder"
Lintingting,1456083311.0,The basic stracutre for google search
Ray,1455997745.0,"Merge pull request #30 from nikign/Rui

simple dynamic website"
Niki Gn,1455950262.0,A simple email handler that reads emails and replies with the same text added
boyzhirui,1455911873.0,"simple dynamic website

build a simple dynamic website with one input box using Google App
Enginee"
Niki Gn,1454630055.0,update README
Niki Gn,1454629899.0,merge README
boyzhirui,1454629702.0,clean Readme.md
Niki Gn,1454629694.0,updating README
CEI_BARNES_3,1454629340.0,make the repository more clean
Ray,1454625886.0,Delete README.md~
Ray,1454625855.0,Delete #README.md#
Lintingting,1454625624.0,We are trying to merge confict
boyzhirui,1454625539.0,revise readme
Lintingting,1454625508.0,testing
Lintingting,1454625257.0,Merge branch 'master' of https://github.com/nikign/SE-16
boyzhirui,1454625186.0,update readme
Lintingting,1454625180.0,testing
lintingting,1454523055.0,update
lintingting,1454523004.0,update
lintingting,1454522882.0,Update README.md
lintingting,1454522789.0,update readme
lintingting,1454520214.0,delete
lintingting,1454520190.0,Create Implement Three Solution - March 1
boyzhirui,1454355961.0,update
boyzhirui,1454347848.0,update
boyzhirui,1454333729.0,"feb 1 project

Describe the problem we find in detail."
Ray,1453431718.0,Update README.md
nikign,1452272893.0,Initial commit
